topology;archetype;small_cluster;d_nearest_large;d_other_large;centrality;d_small_small;d_large_large;rho_comp
0013;B;Small_cluster1;213.737503439188;314.35829783076844;0.6799168493851923;314.58613742142916;416.8920892290771;0.7359170299070474
0013;B;Small_cluster2;213.737503439188;314.35829783076844;0.6799168493851923;314.58613742142916;416.8920892290771;0.7359170299070474
0014;B;Small_cluster1;423.3332749456167;1006.4146188590103;0.4206350613483308;825.0728139653802;1012.9770802333951;0.9744955839714853
0014;B;Small_cluster2;423.3332749456167;1006.4146188590103;0.4206350613483308;825.0728139653802;1012.9770802333951;0.9744955839714853
0015;B;Small_cluster1;475.3912050276995;971.0087570947198;0.48958487918284155;192.11675627157092;1431.8309294059873;0.20206174855546274
0015;B;Small_cluster2;475.3912050276995;971.0087570947198;0.48958487918284155;192.11675627157092;1431.8309294059873;0.20206174855546274
0016;B;Small_cluster1;355.5473271757364;890.1128351701745;0.39944073731704116;683.8507902808487;919.2925544455647;0.9616874295089859
0016;B;Small_cluster2;355.5473271757364;890.1128351701745;0.39944073731704116;683.8507902808487;919.2925544455647;0.9616874295089859
0017;B;Small_cluster1;257.25744999945164;1239.599321732861;0.20753274504847763;502.934203017503;1268.0990872904658;0.9774920085279845
0017;B;Small_cluster2;257.25744999945164;1239.599321732861;0.20753274504847763;502.934203017503;1268.0990872904658;0.9774920085279845
0018;B;Small_cluster1;497.0027662813664;1126.4454888211685;0.44121333097217386;131.12342050299048;631.8764200434089;0.13191417573394154
0018;B;Small_cluster2;497.0027662813664;1126.4454888211685;0.44121333097217386;131.12342050299048;631.8764200434089;0.13191417573394154
0019;B;Small_cluster1;167.27473065257072;1322.0278299540023;0.12652890269215494;308.75472417101264;1377.3919087834656;0.9228970896156921
0019;B;Small_cluster2;167.27473065257072;1322.0278299540023;0.12652890269215494;308.75472417101264;1377.3919087834656;0.9228970896156921
0020;B;Small_cluster1;300.60124173760414;1044.2036091421178;0.28787608001524523;586.7488283663988;1067.6616452634335;0.9759587568147404
